,Iata_Code,Icao_Code,Call_Sign,Name,Country_Code
165,B9,BGD,AIR BANGLA,Air Bangladesh,51
166,7E,AWU,SYLT-AIR,Aeroline GmbH,21
167,HJ,AXF,FREIGHTEXPRESS,Asian Express Airlines,21
168,XU,AXK,EXPRESS JET,African Express Airways,31
169,AK,AXM,ASIAN EXPRESS,AirAsia,191
170,D7,XAX,XANADU,Airasia X,41
171,6V,AXY,AXIS,Axis Airways,161
172,3G,AYZ,ATLANT-SOYUZ,Atlant-Soyuz Airlines,11
173,AZ,AZA,ALITALIA,Alitalia,11
174,ZE,AZE,ARCUS AIR,Arcus-Air Logistic,1
175,Z8,AZN,,Amaszonas,171
176,ZR,AZS,ZITOTRANS,Aviacon Zitotrans Air Company,171
177,R7,OCA,AROSCA,Aserca Airlines,41
178,7Q,TLR,AIR LIBYA,Air Libya Tibesti,131
179,DO,RVL,AIR VALLEE,Airvallee,11
180,EB,PLM,PULLMANTUR,Air Pullmantur,11
181,RX,AEH,AVEX,Aviaexpress,81
182,GU,GUG,AVIATECA,Aviateca,211
183,ZU,BBT,AGYDAL,Air Bashkortostan,131
184,MQ,EGF,EAGLE FLIGHT,American Eagle Airlines,191
185,ZS,AZI,AZZURRA,Azzurra Air,1
186,VU,VUN,AIRIVOIRE,Air Ivoire,201
187,BP,BOT,BOTSWANA,Air Botswana,171
188,GS,UPA,FOYLE,Air Foyle,161
189,VT,VTA,AIR TAHITI,Air Tahiti,21
190,3N,URG,URGA,Air Urga,121
191,VL,VIM,,Air VIA,21
192,FK,WTA,WEST TOGO,Africa West,161
193,G2,VXG,AVIREX-GABON,Avirex,101
194,V8,VAS,ATRAN,ATRAN Cargo Airlines,21
195,K6,VAV,AIR ANGKOR,Angkor Air,51
196,VE,AVE,Avensa,Avensa,191
197,V5,VLI,AEROVOLAR,Avolar Aerolineas,191
198,CA,CCA,AIR CHINA,Air China,11
199,Q6,CDP,CONDOR-PERU,Aero Condor Peru,121
200,5F,CIR,AIR ARCTIC,Arctic Circle Air Service,111
201,LK,CNE,CONNECTOR,Air Toronto,201
202,QC,CRD,AIR CORRIDOR,Air Corridor,141
203,NV,CRF,AIR CENTRAL,Air Central,71
204,YN,CRQ,CREE,Air Creebec,151
205,CV,CVA,CHATHAM,Air Chathams,91
